state,good,prop selling
Alabama,Cheese,0.22535211267605634
Alabama,Eggs,0.5915492957746479
Alabama,Fruits,0.7605633802816901
Alabama,Maple,0.014084507042253521
Alabama,Poultry,0.19718309859154928
Alabama,Wine,0.0
Arizona,Cheese,0.48484848484848486
Arizona,Eggs,0.7575757575757576
Arizona,Fruits,0.9090909090909091
Arizona,Maple,0.18181818181818182
Arizona,Poultry,0.4090909090909091
Arizona,Wine,0.09090909090909091
Arkansas,Cheese,0.2033898305084746
Arkansas,Eggs,0.864406779661017
Arkansas,Fruits,0.864406779661017
Arkansas,Maple,0.1016949152542373
Arkansas,Poultry,0.3559322033898305
Arkansas,Wine,0.03389830508474576
California,Cheese,0.5384615384615384
California,Eggs,0.7262443438914027
California,Fruits,0.8235294117647058
California,Maple,0.04751131221719457
California,Poultry,0.40497737556561086
California,Wine,0.15384615384615385
Colorado,Cheese,0.5306122448979592
Colorado,Eggs,0.7653061224489796
Colorado,Fruits,0.8061224489795918
Colorado,Maple,0.17346938775510204
Colorado,Poultry,0.42857142857142855
Colorado,Wine,0.30612244897959184
Connecticut,Cheese,0.7962962962962963
Connecticut,Eggs,0.8333333333333334
Connecticut,Fruits,0.8703703703703703
Connecticut,Maple,0.8148148148148148
Connecticut,Poultry,0.5740740740740741
Connecticut,Wine,0.1111111111111111
Delaware,Cheese,0.4642857142857143
Delaware,Eggs,0.75
Delaware,Fruits,0.7857142857142857
Delaware,Maple,0.14285714285714285
Delaware,Poultry,0.5714285714285714
Delaware,Wine,0.07142857142857142
District of Columbia,Cheese,0.5909090909090909
District of Columbia,Eggs,0.8636363636363636
District of Columbia,Fruits,0.9090909090909091
District of Columbia,Maple,0.09090909090909091
District of Columbia,Poultry,0.6818181818181818
District of Columbia,Wine,0.06818181818181818
Florida,Cheese,0.6538461538461539
Florida,Eggs,0.7564102564102564
Florida,Fruits,0.8076923076923077
Florida,Maple,0.358974358974359
Florida,Poultry,0.42948717948717946
Florida,Wine,0.05128205128205128
Georgia,Cheese,0.5887096774193549
Georgia,Eggs,0.7903225806451613
Georgia,Fruits,0.8225806451612904
Georgia,Maple,0.1532258064516129
Georgia,Poultry,0.41935483870967744
Georgia,Wine,0.03225806451612903
Idaho,Cheese,0.5135135135135135
Idaho,Eggs,0.6756756756756757
Idaho,Fruits,0.6216216216216216
Idaho,Maple,0.13513513513513514
Idaho,Poultry,0.24324324324324326
Idaho,Wine,0.24324324324324326
Illinois,Cheese,0.5287958115183246
Illinois,Eggs,0.6335078534031413
Illinois,Fruits,0.8219895287958116
Illinois,Maple,0.28272251308900526
Illinois,Poultry,0.49214659685863876
Illinois,Wine,0.06806282722513089
Indiana,Cheese,0.5277777777777778
Indiana,Eggs,0.7569444444444444
Indiana,Fruits,0.8541666666666666
Indiana,Maple,0.5416666666666666
Indiana,Poultry,0.4375
Indiana,Wine,0.08333333333333333
Iowa,Cheese,0.22772277227722773
Iowa,Eggs,0.8217821782178217
Iowa,Fruits,0.7821782178217822
Iowa,Maple,0.18811881188118812
Iowa,Poultry,0.3069306930693069
Iowa,Wine,0.2079207920792079
Kansas,Cheese,0.15584415584415584
Kansas,Eggs,0.7922077922077922
Kansas,Fruits,0.7662337662337663
Kansas,Maple,0.07792207792207792
Kansas,Poultry,0.2987012987012987
Kansas,Wine,0.07792207792207792
Kentucky,Cheese,0.3157894736842105
Kentucky,Eggs,0.8
Kentucky,Fruits,0.8631578947368421
Kentucky,Maple,0.29473684210526313
Kentucky,Poultry,0.42105263157894735
Kentucky,Wine,0.15789473684210525
Louisiana,Cheese,0.42105263157894735
Louisiana,Eggs,0.7368421052631579
Louisiana,Fruits,0.7894736842105263
Louisiana,Maple,0.03508771929824561
Louisiana,Poultry,0.3157894736842105
Louisiana,Wine,0.17543859649122806
Maine,Cheese,0.7878787878787878
Maine,Eggs,0.8333333333333334
Maine,Fruits,0.7878787878787878
Maine,Maple,0.7878787878787878
Maine,Poultry,0.5757575757575758
Maine,Wine,0.18181818181818182
Maryland,Cheese,0.46956521739130436
Maryland,Eggs,0.8782608695652174
Maryland,Fruits,0.7739130434782608
Maryland,Maple,0.16521739130434782
Maryland,Poultry,0.591304347826087
Maryland,Wine,0.33043478260869563
Massachusetts,Cheese,0.5833333333333334
Massachusetts,Eggs,0.8291666666666667
Massachusetts,Fruits,0.8208333333333333
Massachusetts,Maple,0.65
Massachusetts,Poultry,0.5791666666666667
Massachusetts,Wine,0.2875
Michigan,Cheese,0.4579831932773109
Michigan,Eggs,0.7647058823529411
Michigan,Fruits,0.8487394957983193
Michigan,Maple,0.726890756302521
Michigan,Poultry,0.42016806722689076
Michigan,Wine,0.14705882352941177
Minnesota,Cheese,0.28346456692913385
Minnesota,Eggs,0.7007874015748031
Minnesota,Fruits,0.7086614173228346
Minnesota,Maple,0.5590551181102362
Minnesota,Poultry,0.44881889763779526
Minnesota,Wine,0.007874015748031496
Mississippi,Cheese,0.5333333333333333
Mississippi,Eggs,0.6666666666666666
Mississippi,Fruits,0.7777777777777778
Mississippi,Maple,0.022222222222222223
Mississippi,Poultry,0.1111111111111111
Mississippi,Wine,0.0
Missouri,Cheese,0.21084337349397592
Missouri,Eggs,0.7951807228915663
Missouri,Fruits,0.7771084337349398
Missouri,Maple,0.09036144578313253
Missouri,Poultry,0.3132530120481928
Missouri,Wine,0.04819277108433735
Montana,Cheese,0.2692307692307692
Montana,Eggs,0.8269230769230769
Montana,Fruits,0.7307692307692307
Montana,Maple,0.07692307692307693
Montana,Poultry,0.2692307692307692
Montana,Wine,0.11538461538461539
Nebraska,Cheese,0.21818181818181817
Nebraska,Eggs,0.7454545454545455
Nebraska,Fruits,0.8
Nebraska,Maple,0.14545454545454545
Nebraska,Poultry,0.34545454545454546
Nebraska,Wine,0.07272727272727272
Nevada,Cheese,0.3076923076923077
Nevada,Eggs,0.6923076923076923
Nevada,Fruits,0.8461538461538461
Nevada,Maple,0.15384615384615385
Nevada,Poultry,0.0
Nevada,Wine,0.038461538461538464
New Hampshire,Cheese,0.7391304347826086
New Hampshire,Eggs,0.9130434782608695
New Hampshire,Fruits,0.7246376811594203
New Hampshire,Maple,0.8840579710144928
New Hampshire,Poultry,0.7101449275362319
New Hampshire,Wine,0.43478260869565216
New Jersey,Cheese,0.6442307692307693
New Jersey,Eggs,0.6538461538461539
New Jersey,Fruits,0.6826923076923077
New Jersey,Maple,0.20192307692307693
New Jersey,Poultry,0.3942307692307692
New Jersey,Wine,0.2403846153846154
New Mexico,Cheese,0.21428571428571427
New Mexico,Eggs,0.5535714285714286
New Mexico,Fruits,0.6964285714285714
New Mexico,Maple,0.0
New Mexico,Poultry,0.125
New Mexico,Wine,0.017857142857142856
New York,Cheese,0.5533333333333333
New York,Eggs,0.6888888888888889
New York,Fruits,0.7644444444444445
New York,Maple,0.5644444444444444
New York,Poultry,0.4911111111111111
New York,Wine,0.37777777777777777
North Carolina,Cheese,0.5214723926380368
North Carolina,Eggs,0.8466257668711656
North Carolina,Fruits,0.8650306748466258
North Carolina,Maple,0.09202453987730061
North Carolina,Poultry,0.588957055214724
North Carolina,Wine,0.2085889570552147
North Dakota,Cheese,0.0625
North Dakota,Eggs,0.25
North Dakota,Fruits,0.5625
North Dakota,Maple,0.0625
North Dakota,Poultry,0.125
North Dakota,Wine,0.0625
Ohio,Cheese,0.4782608695652174
Ohio,Eggs,0.6739130434782609
Ohio,Fruits,0.8967391304347826
Ohio,Maple,0.6793478260869565
Ohio,Poultry,0.5054347826086957
Ohio,Wine,0.08152173913043478
Oklahoma,Cheese,0.29411764705882354
Oklahoma,Eggs,0.6764705882352942
Oklahoma,Fruits,0.6764705882352942
Oklahoma,Maple,0.058823529411764705
Oklahoma,Poultry,0.29411764705882354
Oklahoma,Wine,0.11764705882352941
Oregon,Cheese,0.4672131147540984
Oregon,Eggs,0.7377049180327869
Oregon,Fruits,0.7868852459016393
Oregon,Maple,0.040983606557377046
Oregon,Poultry,0.5
Oregon,Wine,0.4180327868852459
Pennsylvania,Cheese,0.5625
Pennsylvania,Eggs,0.6527777777777778
Pennsylvania,Fruits,0.8680555555555556
Pennsylvania,Maple,0.4375
Pennsylvania,Poultry,0.4722222222222222
Pennsylvania,Wine,0.3194444444444444
Rhode Island,Cheese,0.5
Rhode Island,Eggs,0.6764705882352942
Rhode Island,Fruits,0.9705882352941176
Rhode Island,Maple,0.29411764705882354
Rhode Island,Poultry,0.4117647058823529
Rhode Island,Wine,0.0
South Carolina,Cheese,0.6716417910447762
South Carolina,Eggs,0.8208955223880597
South Carolina,Fruits,0.8208955223880597
South Carolina,Maple,0.19402985074626866
South Carolina,Poultry,0.44776119402985076
South Carolina,Wine,0.1044776119402985
South Dakota,Cheese,0.34782608695652173
South Dakota,Eggs,0.8260869565217391
South Dakota,Fruits,0.7391304347826086
South Dakota,Maple,0.08695652173913043
South Dakota,Poultry,0.4782608695652174
South Dakota,Wine,0.043478260869565216
Tennessee,Cheese,0.4878048780487805
Tennessee,Eggs,0.8658536585365854
Tennessee,Fruits,0.8658536585365854
Tennessee,Maple,0.15853658536585366
Tennessee,Poultry,0.573170731707317
Tennessee,Wine,0.036585365853658534
Texas,Cheese,0.4881889763779528
Texas,Eggs,0.905511811023622
Texas,Fruits,0.8503937007874016
Texas,Maple,0.2047244094488189
Texas,Poultry,0.5826771653543307
Texas,Wine,0.2677165354330709
Utah,Cheese,0.5483870967741935
Utah,Eggs,0.8064516129032258
Utah,Fruits,0.8709677419354839
Utah,Maple,0.06451612903225806
Utah,Poultry,0.25806451612903225
Utah,Wine,0.06451612903225806
Vermont,Cheese,0.6617647058823529
Vermont,Eggs,0.8529411764705882
Vermont,Fruits,0.7794117647058824
Vermont,Maple,0.8970588235294118
Vermont,Poultry,0.7205882352941176
Vermont,Wine,0.35294117647058826
Virginia,Cheese,0.5580110497237569
Virginia,Eggs,0.9281767955801105
Virginia,Fruits,0.8895027624309392
Virginia,Maple,0.1878453038674033
Virginia,Poultry,0.6961325966850829
Virginia,Wine,0.2541436464088398
Washington,Cheese,0.7099236641221374
Washington,Eggs,0.7709923664122137
Washington,Fruits,0.8931297709923665
Washington,Maple,0.030534351145038167
Washington,Poultry,0.48854961832061067
Washington,Wine,0.45038167938931295
West Virginia,Cheese,0.2857142857142857
West Virginia,Eggs,0.875
West Virginia,Fruits,0.7857142857142857
West Virginia,Maple,0.48214285714285715
West Virginia,Poultry,0.5357142857142857
West Virginia,Wine,0.03571428571428571
Wisconsin,Cheese,0.49489795918367346
Wisconsin,Eggs,0.6479591836734694
Wisconsin,Fruits,0.7857142857142857
Wisconsin,Maple,0.7346938775510204
Wisconsin,Poultry,0.5153061224489796
Wisconsin,Wine,0.04081632653061224
Wyoming,Cheese,0.5161290322580645
Wyoming,Eggs,0.8064516129032258
Wyoming,Fruits,0.6129032258064516
Wyoming,Maple,0.12903225806451613
Wyoming,Poultry,0.3548387096774194
Wyoming,Wine,0.06451612903225806
